AUDITUSER,AUDITTIMESTAMP,EGROUPID,USERID,ACCESSLEVEL
OPSSYS_BD,"2024-02-19 14:00:00.953",1,326,2
OPSSYS_BD,"2024-02-19 14:00:00.957",2,326,2
OPSSYS_BD,"2024-02-19 14:00:00.957",3,326,2
OPSSYS_BD,"2024-02-19 14:00:00.960",1,333,2
OPSSYS_BD,"2024-02-19 14:00:00.977",2,333,2
OPSSYS_BD,"2024-02-19 14:00:00.980",3,333,2
OPSSYS_BD,"2024-02-19 14:00:00.980",1,334,2
OPSSYS_BD,"2024-02-19 14:00:00.983",2,334,2
OPSSYS_BD,"2024-02-19 14:00:00.983",3,334,2
OPSSYS_BD,"2024-02-19 14:00:00.987",1,336,2
OPSSYS_BD,"2024-02-19 14:00:00.987",2,336,2
OPSSYS_BD,"2024-02-19 14:00:00.990",3,336,2
OPSSYS_BD,"2024-02-19 14:00:00.990",1,337,2
OPSSYS_BD,"2024-02-19 14:00:00.993",2,337,2
OPSSYS_BD,"2024-02-19 14:00:00.997",3,337,2
